title,speaker,url,month,year
"Who owns the ""wilderness""?",Elyse Cox,/talks/elyse_cox_who_owns_the_wilderness?language=en,Oct,2020
The myth of the stolen eyeballs,Nathan D. Horowitz,/talks/nathan_d_horowitz_the_myth_of_the_stolen_eyeballs?language=en,Oct,2020
"An illustrated kingdom of real, fantastical plants",Nirupa Rao,/talks/nirupa_rao_an_illustrated_kingdom_of_real_fantastical_plants?language=en,Oct,2020
Racism thrives on silence — speak up!,Dexter Dias,/talks/dexter_dias_racism_thrives_on_silence_speak_up?language=en,Oct,2020
The surprising effects of pregnancy,TED-Ed,/talks/ted_ed_the_surprising_effects_of_pregnancy?language=en,Oct,2020
"The neuroscience of psychedelic drugs, music and nostalgia",Frederick Streeter Barrett,/talks/frederick_streeter_barrett_the_neuroscience_of_psychedelic_drugs_music_and_nostalgia?language=en,Oct,2020
The lie that invented racism,John Biewen,/talks/john_biewen_the_lie_that_invented_racism?language=en,Sep,2020
The problem with the U.S. bail system,Camilo Ramirez,/talks/camilo_ramirez_the_problem_with_the_u_s_bail_system?language=en,Sep,2020
A global movement to solve global problems,Colombe Cahen-Salvador,/talks/colombe_cahen_salvador_a_global_movement_to_solve_global_problems?language=en,Sep,2020
Performing brain surgery without a scalpel,Hyunsoo Joshua No,/talks/hyunsoo_joshua_no_performing_brain_surgery_without_a_scalpel?language=en,Sep,2020
"The ancient, earth-friendly wisdom of Mongolian nomads",Khulan Batkhuyag,/talks/khulan_batkhuyag_the_ancient_earth_friendly_wisdom_of_mongolian_nomads?language=en,Sep,2020
How humanity can reach the stars,Philip Lubin,/talks/philip_lubin_how_humanity_can_reach_the_stars?language=en,Sep,2020
"The World Machine | Think Like A Coder, Ep 10",Alex Rosenthal,/talks/alex_rosenthal_the_world_machine_think_like_a_coder_ep_10?language=en,Sep,2020
Why we must confront the painful parts of US history,Hasan Kwame Jeffries,/talks/hasan_kwame_jeffries_why_we_must_confront_the_painful_parts_of_us_history?language=en,Sep,2020
Is human evolution speeding up or slowing down?,Laurence Hurst,/talks/laurence_hurst_is_human_evolution_speeding_up_or_slowing_down?language=en,Sep,2020
The psychological traits that shape your political beliefs,Dannagal G. Young,/talks/dannagal_g_young_the_psychological_traits_that_shape_your_political_beliefs?language=en,Sep,2020
Is life meaningless? And other absurd questions,Nina Medvinskaya,/talks/nina_medvinskaya_is_life_meaningless_and_other_absurd_questions?language=en,Sep,2020
"""Jabberwocky"": One of literature's best bits of nonsense",Lewis Carroll,/talks/lewis_carroll_jabberwocky_one_of_literature_s_best_bits_of_nonsense?language=en,Sep,2020
"If you adults won't save the world, we will",Xiye Bastida,/talks/xiye_bastida_if_you_adults_won_t_save_the_world_we_will?language=en,Sep,2020
Secrets of the mind and free will — revealed by magic tricks,Alice Pailhès,/talks/alice_pailhes_secrets_of_the_mind_and_free_will_revealed_by_magic_tricks?language=en,Sep,2020
What role does luck play in your life?,Barry Schwartz,/talks/barry_schwartz_what_role_does_luck_play_in_your_life?language=en,Sep,2020
Why do we blame individuals for economic crises?,Liene Ozoliņa,/talks/liene_ozolina_why_do_we_blame_individuals_for_economic_crises?language=en,Sep,2020
A day in the life of an ancient Greek architect,Mark Robinson,/talks/mark_robinson_a_day_in_the_life_of_an_ancient_greek_architect?language=en,Sep,2020
You shouldn't have to choose between filling your prescriptions and paying bills,Kiah Williams,/talks/kiah_williams_you_shouldn_t_have_to_choose_between_filling_your_prescriptions_and_paying_bills?language=en,Sep,2020
The Japanese folktale of the selfish scholar,Iseult Gillespie,/talks/iseult_gillespie_the_japanese_folktale_of_the_selfish_scholar?language=en,Sep,2020
The psychology of inequality and political division,Keith Payne,/talks/keith_payne_the_psychology_of_inequality_and_political_division?language=en,Sep,2020
"How to win an argument (at the US Supreme Court, or anywhere)",Neal Katyal,/talks/neal_katyal_how_to_win_an_argument_at_the_us_supreme_court_or_anywhere?language=en,Sep,2020
A lesson in turning adversaries into allies,Leah Garcés,/talks/leah_garces_a_lesson_in_turning_adversaries_into_allies?language=en,Sep,2020
What it takes to make change,Jacqueline Novogratz,/talks/jacqueline_novogratz_what_it_takes_to_make_change?language=en,Sep,2020
Are all of your memories real?,Daniel L. Schacter,/talks/daniel_l_schacter_are_all_of_your_memories_real?language=en,Sep,2020
"Dear Facebook, this is how you're breaking democracy",Yaël Eisenstat,/talks/yael_eisenstat_dear_facebook_this_is_how_you_re_breaking_democracy?language=en,Sep,2020
4 steps to ending extreme poverty,Shameran Abed,/talks/shameran_abed_4_steps_to_ending_extreme_poverty?language=en,Sep,2020
Why people fall for misinformation,Joseph Isaac,/talks/joseph_isaac_why_people_fall_for_misinformation?language=en,Sep,2020
